date,item_id,item_name,units_sold,stockout_flag,is_weekend,is_rainy,lag_1,lag_7,rolling_7_avg
2024-10-24,M01,Nasi Goreng Spesial,97,0,0,0,116.0,94.0,100.28571428571429
2024-10-25,M01,Nasi Goreng Spesial,98,0,0,0,97.0,82.0,100.71428571428571
2024-10-26,M01,Nasi Goreng Spesial,134,0,1,0,98.0,107.0,103.0
2024-10-27,M01,Nasi Goreng Spesial,111,0,1,1,134.0,107.0,106.85714285714286
2024-10-28,M01,Nasi Goreng Spesial,66,1,0,1,111.0,93.0,107.42857142857143
2024-10-29,M01,Nasi Goreng Spesial,87,0,0,1,66.0,103.0,103.57142857142857
2024-10-30,M01,Nasi Goreng Spesial,103,0,0,0,87.0,116.0,101.28571428571429
2024-10-31,M01,Nasi Goreng Spesial,77,0,0,1,103.0,97.0,99.42857142857143
2024-11-01,M01,Nasi Goreng Spesial,100,0,0,1,77.0,98.0,96.57142857142857
2024-11-02,M01,Nasi Goreng Spesial,139,0,1,0,100.0,134.0,96.85714285714286
2024-11-03,M01,Nasi Goreng Spesial,112,0,1,0,139.0,111.0,97.57142857142857
2024-11-04,M01,Nasi Goreng Spesial,106,0,0,0,112.0,66.0,97.71428571428571
2024-11-05,M01,Nasi Goreng Spesial,106,0,0,0,106.0,87.0,103.42857142857143
2024-11-06,M01,Nasi Goreng Spesial,87,0,0,1,106.0,103.0,106.14285714285714
2024-11-07,M01,Nasi Goreng Spesial,78,0,0,1,87.0,77.0,103.85714285714286
2024-11-08,M01,Nasi Goreng Spesial,115,0,0,0,78.0,100.0,104.0
2024-11-09,M01,Nasi Goreng Spesial,142,0,1,0,115.0,139.0,106.14285714285714
2024-11-10,M01,Nasi Goreng Spesial,90,1,1,0,142.0,112.0,106.57142857142857
2024-11-11,M01,Nasi Goreng Spesial,107,0,0,1,90.0,106.0,103.42857142857143
2024-11-12,M01,Nasi Goreng Spesial,118,0,0,0,107.0,106.0,103.57142857142857
2024-11-13,M01,Nasi Goreng Spesial,110,0,0,0,118.0,87.0,105.28571428571429
2024-11-14,M01,Nasi Goreng Spesial,103,0,0,0,110.0,78.0,108.57142857142857
2024-11-15,M01,Nasi Goreng Spesial,99,0,0,0,103.0,115.0,112.14285714285714
2024-11-16,M01,Nasi Goreng Spesial,99,0,1,1,99.0,142.0,109.85714285714286
2024-11-17,M01,Nasi Goreng Spesial,99,1,1,0,99.0,90.0,103.71428571428571
2024-11-18,M01,Nasi Goreng Spesial,88,0,0,1,99.0,107.0,105.0
2024-11-19,M01,Nasi Goreng Spesial,110,0,0,0,88.0,118.0,102.28571428571429
2024-11-20,M01,Nasi Goreng Spesial,120,0,0,0,110.0,110.0,101.14285714285714
2024-11-21,M01,Nasi Goreng Spesial,114,0,0,0,120.0,103.0,102.57142857142857
2024-11-22,M01,Nasi Goreng Spesial,99,0,0,1,114.0,99.0,104.14285714285714
2024-11-23,M01,Nasi Goreng Spesial,110,0,1,1,99.0,99.0,104.14285714285714
2024-11-24,M01,Nasi Goreng Spesial,134,0,1,0,110.0,99.0,105.71428571428571
2024-11-25,M01,Nasi Goreng Spesial,105,0,0,1,134.0,88.0,110.71428571428571
2024-11-26,M01,Nasi Goreng Spesial,94,0,0,0,105.0,110.0,113.14285714285714
2024-11-27,M01,Nasi Goreng Spesial,105,0,0,0,94.0,120.0,110.85714285714286
2024-11-28,M01,Nasi Goreng Spesial,93,0,0,0,105.0,114.0,108.71428571428571
2024-11-29,M01,Nasi Goreng Spesial,108,0,0,0,93.0,99.0,105.71428571428571
2024-11-30,M01,Nasi Goreng Spesial,130,0,1,0,108.0,110.0,107.0
2024-12-01,M01,Nasi Goreng Spesial,122,0,1,0,130.0,134.0,109.85714285714286
2024-12-02,M01,Nasi Goreng Spesial,106,0,0,0,122.0,105.0,108.14285714285714
2024-12-03,M01,Nasi Goreng Spesial,113,0,0,0,106.0,94.0,108.28571428571429
2024-12-04,M01,Nasi Goreng Spesial,101,0,0,0,113.0,105.0,111.0
2024-12-05,M01,Nasi Goreng Spesial,55,1,0,0,101.0,93.0,110.42857142857143
2024-12-06,M01,Nasi Goreng Spesial,84,0,0,1,55.0,108.0,105.0
2024-12-07,M01,Nasi Goreng Spesial,139,0,1,0,84.0,130.0,101.57142857142857
2024-12-08,M01,Nasi Goreng Spesial,102,0,1,0,139.0,122.0,102.85714285714286
2024-12-09,M01,Nasi Goreng Spesial,98,0,0,0,102.0,106.0,100.0
2024-12-10,M01,Nasi Goreng Spesial,92,0,0,1,98.0,113.0,98.85714285714286
2024-12-11,M01,Nasi Goreng Spesial,86,0,0,1,92.0,101.0,95.85714285714286
2024-12-12,M01,Nasi Goreng Spesial,115,0,0,0,86.0,55.0,93.71428571428571
2024-12-13,M01,Nasi Goreng Spesial,77,0,0,0,115.0,84.0,102.28571428571429
2024-12-14,M01,Nasi Goreng Spesial,143,0,1,0,77.0,139.0,101.28571428571429
2024-12-15,M01,Nasi Goreng Spesial,138,0,1,0,143.0,102.0,101.85714285714286
2024-12-16,M01,Nasi Goreng Spesial,105,0,0,0,138.0,98.0,107.0
2024-12-17,M01,Nasi Goreng Spesial,89,0,0,0,105.0,92.0,108.0
2024-12-18,M01,Nasi Goreng Spesial,104,0,0,0,89.0,86.0,107.57142857142857
2024-12-19,M01,Nasi Goreng Spesial,109,0,0,0,104.0,115.0,110.14285714285714
2024-12-20,M01,Nasi Goreng Spesial,76,1,0,0,109.0,77.0,109.28571428571429
2024-12-21,M01,Nasi Goreng Spesial,131,0,1,0,76.0,143.0,109.14285714285714
2024-12-22,M01,Nasi Goreng Spesial,116,0,1,1,131.0,138.0,107.42857142857143
2024-12-23,M01,Nasi Goreng Spesial,84,0,0,1,116.0,105.0,104.28571428571429
2024-12-24,M01,Nasi Goreng Spesial,105,0,0,0,84.0,89.0,101.28571428571429
2024-12-25,M01,Nasi Goreng Spesial,112,0,0,0,105.0,104.0,103.57142857142857
2024-12-26,M01,Nasi Goreng Spesial,98,0,0,0,112.0,109.0,104.71428571428571
2024-12-27,M01,Nasi Goreng Spesial,66,1,0,0,98.0,76.0,103.14285714285714
2024-12-28,M01,Nasi Goreng Spesial,128,0,1,0,66.0,131.0,101.71428571428571
2024-12-29,M01,Nasi Goreng Spesial,155,0,1,0,128.0,116.0,101.28571428571429
2024-12-30,M01,Nasi Goreng Spesial,73,0,0,0,155.0,84.0,106.85714285714286
2024-12-31,M01,Nasi Goreng Spesial,108,0,0,0,73.0,105.0,105.28571428571429
2025-01-01,M01,Nasi Goreng Spesial,92,0,0,0,108.0,112.0,105.71428571428571
2025-01-02,M01,Nasi Goreng Spesial,90,0,0,1,92.0,98.0,102.85714285714286
2025-01-03,M01,Nasi Goreng Spesial,75,0,0,1,90.0,66.0,101.71428571428571
2025-01-04,M01,Nasi Goreng Spesial,113,0,1,0,75.0,128.0,103.0
2025-01-05,M01,Nasi Goreng Spesial,121,0,1,0,113.0,155.0,100.85714285714286
2025-01-06,M01,Nasi Goreng Spesial,109,0,0,0,121.0,73.0,96.0
2025-01-07,M01,Nasi Goreng Spesial,106,0,0,0,109.0,108.0,101.14285714285714
2025-01-08,M01,Nasi Goreng Spesial,83,0,0,0,106.0,92.0,100.85714285714286
2025-01-09,M01,Nasi Goreng Spesial,78,1,0,0,83.0,90.0,99.57142857142857
2025-01-10,M01,Nasi Goreng Spesial,98,0,0,0,78.0,75.0,97.85714285714286
2025-01-11,M01,Nasi Goreng Spesial,131,0,1,0,98.0,113.0,101.14285714285714
2025-01-12,M01,Nasi Goreng Spesial,112,1,1,0,131.0,121.0,103.71428571428571
2025-01-13,M01,Nasi Goreng Spesial,84,0,0,0,112.0,109.0,102.42857142857143
2025-01-14,M01,Nasi Goreng Spesial,104,0,0,1,84.0,106.0,98.85714285714286
2025-01-15,M01,Nasi Goreng Spesial,105,0,0,0,104.0,83.0,98.57142857142857
2025-01-16,M01,Nasi Goreng Spesial,71,0,0,1,105.0,78.0,101.71428571428571
2025-01-17,M01,Nasi Goreng Spesial,106,0,0,0,71.0,98.0,100.71428571428571
2025-01-18,M01,Nasi Goreng Spesial,118,0,1,1,106.0,131.0,101.85714285714286
2025-01-19,M01,Nasi Goreng Spesial,108,0,1,1,118.0,112.0,100.0
2025-01-20,M01,Nasi Goreng Spesial,85,0,0,0,108.0,84.0,99.42857142857143
2025-01-21,M01,Nasi Goreng Spesial,112,0,0,0,85.0,104.0,99.57142857142857
2025-01-22,M01,Nasi Goreng Spesial,71,0,0,1,112.0,105.0,100.71428571428571
2025-01-23,M01,Nasi Goreng Spesial,85,0,0,1,71.0,71.0,95.85714285714286
2025-01-24,M01,Nasi Goreng Spesial,68,0,0,1,85.0,106.0,97.85714285714286
2025-01-25,M01,Nasi Goreng Spesial,121,0,1,0,68.0,118.0,92.42857142857143
2025-01-26,M01,Nasi Goreng Spesial,128,0,1,0,121.0,108.0,92.85714285714286
2025-01-27,M01,Nasi Goreng Spesial,78,0,0,1,128.0,85.0,95.71428571428571
2025-01-28,M01,Nasi Goreng Spesial,94,0,0,0,78.0,112.0,94.71428571428571
2025-01-29,M01,Nasi Goreng Spesial,62,1,0,1,94.0,71.0,92.14285714285714
2025-01-30,M01,Nasi Goreng Spesial,77,0,0,1,62.0,85.0,90.85714285714286
2025-01-31,M01,Nasi Goreng Spesial,101,0,0,0,77.0,68.0,89.71428571428571
2025-02-01,M01,Nasi Goreng Spesial,112,0,1,0,101.0,121.0,94.42857142857143
2025-02-02,M01,Nasi Goreng Spesial,129,0,1,0,112.0,128.0,93.14285714285714
2025-02-03,M01,Nasi Goreng Spesial,98,0,0,1,129.0,78.0,93.28571428571429
2025-02-04,M01,Nasi Goreng Spesial,88,0,0,1,98.0,94.0,96.14285714285714
2025-02-05,M01,Nasi Goreng Spesial,93,0,0,0,88.0,62.0,95.28571428571429
2025-02-06,M01,Nasi Goreng Spesial,91,0,0,0,93.0,77.0,99.71428571428571
2025-02-07,M01,Nasi Goreng Spesial,100,0,0,0,91.0,101.0,101.71428571428571
2025-02-08,M01,Nasi Goreng Spesial,112,0,1,1,100.0,112.0,101.57142857142857
2025-02-09,M01,Nasi Goreng Spesial,131,0,1,0,112.0,129.0,101.57142857142857
2025-02-10,M01,Nasi Goreng Spesial,101,0,0,0,131.0,98.0,101.85714285714286
2025-02-11,M01,Nasi Goreng Spesial,98,0,0,0,101.0,88.0,102.28571428571429
2025-02-12,M01,Nasi Goreng Spesial,95,0,0,0,98.0,93.0,103.71428571428571
2025-02-13,M01,Nasi Goreng Spesial,111,0,0,0,95.0,91.0,104.0
2025-02-14,M01,Nasi Goreng Spesial,88,0,0,0,111.0,100.0,106.85714285714286
2025-02-15,M01,Nasi Goreng Spesial,103,0,1,1,88.0,112.0,105.14285714285714
2025-02-16,M01,Nasi Goreng Spesial,107,0,1,1,103.0,131.0,103.85714285714286
2025-02-17,M01,Nasi Goreng Spesial,75,0,0,1,107.0,101.0,100.42857142857143
2025-02-18,M01,Nasi Goreng Spesial,104,0,0,0,75.0,98.0,96.71428571428571
2025-02-19,M01,Nasi Goreng Spesial,84,0,0,0,104.0,95.0,97.57142857142857
2025-02-20,M01,Nasi Goreng Spesial,99,0,0,0,84.0,111.0,96.0
2025-02-21,M01,Nasi Goreng Spesial,84,0,0,1,99.0,88.0,94.28571428571429
2025-02-22,M01,Nasi Goreng Spesial,129,0,1,0,84.0,103.0,93.71428571428571
2025-02-23,M01,Nasi Goreng Spesial,128,0,1,0,129.0,107.0,97.42857142857143
2025-02-24,M01,Nasi Goreng Spesial,106,0,0,0,128.0,75.0,100.42857142857143
2025-02-25,M01,Nasi Goreng Spesial,118,0,0,0,106.0,104.0,104.85714285714286
2025-02-26,M01,Nasi Goreng Spesial,110,0,0,0,118.0,84.0,106.85714285714286
2025-02-27,M01,Nasi Goreng Spesial,96,0,0,0,110.0,99.0,110.57142857142857
2025-02-28,M01,Nasi Goreng Spesial,94,0,0,0,96.0,84.0,110.14285714285714
2025-03-01,M01,Nasi Goreng Spesial,99,0,1,1,94.0,129.0,111.57142857142857
2025-03-02,M01,Nasi Goreng Spesial,109,0,1,1,99.0,128.0,107.28571428571429
2025-03-03,M01,Nasi Goreng Spesial,69,0,0,1,109.0,106.0,104.57142857142857
2025-03-04,M01,Nasi Goreng Spesial,79,0,0,1,69.0,118.0,99.28571428571429
2025-03-05,M01,Nasi Goreng Spesial,88,0,0,1,79.0,110.0,93.71428571428571
2025-03-06,M01,Nasi Goreng Spesial,110,0,0,0,88.0,96.0,90.57142857142857
2025-03-07,M01,Nasi Goreng Spesial,111,0,0,0,110.0,94.0,92.57142857142857
2025-03-08,M01,Nasi Goreng Spesial,127,0,1,0,111.0,99.0,95.0
2025-03-09,M01,Nasi Goreng Spesial,121,0,1,0,127.0,109.0,99.0
2025-03-10,M01,Nasi Goreng Spesial,97,0,0,1,121.0,69.0,100.71428571428571
2025-03-11,M01,Nasi Goreng Spesial,75,1,0,0,97.0,79.0,104.71428571428571
2025-03-12,M01,Nasi Goreng Spesial,89,0,0,0,75.0,88.0,104.14285714285714
2025-03-13,M01,Nasi Goreng Spesial,91,0,0,0,89.0,110.0,104.28571428571429
2025-03-14,M01,Nasi Goreng Spesial,91,0,0,1,91.0,111.0,101.57142857142857
2025-03-15,M01,Nasi Goreng Spesial,129,0,1,0,91.0,127.0,98.71428571428571
2025-03-16,M01,Nasi Goreng Spesial,130,0,1,0,129.0,121.0,99.0
2025-03-17,M01,Nasi Goreng Spesial,110,0,0,0,130.0,97.0,100.28571428571429
2025-03-18,M01,Nasi Goreng Spesial,103,0,0,0,110.0,75.0,102.14285714285714
2025-03-19,M01,Nasi Goreng Spesial,86,0,0,1,103.0,89.0,106.14285714285714
2025-03-20,M01,Nasi Goreng Spesial,83,0,0,0,86.0,91.0,105.71428571428571
2025-03-21,M01,Nasi Goreng Spesial,110,0,0,0,83.0,91.0,104.57142857142857
2025-03-22,M01,Nasi Goreng Spesial,141,0,1,0,110.0,129.0,107.28571428571429
2025-03-23,M01,Nasi Goreng Spesial,136,0,1,0,141.0,130.0,109.0
2025-03-24,M01,Nasi Goreng Spesial,77,1,0,0,136.0,110.0,109.85714285714286
2025-03-25,M01,Nasi Goreng Spesial,109,0,0,0,77.0,103.0,105.14285714285714
2025-03-26,M01,Nasi Goreng Spesial,107,0,0,0,109.0,86.0,106.0
2025-03-27,M01,Nasi Goreng Spesial,86,0,0,1,107.0,83.0,109.0
2025-03-28,M01,Nasi Goreng Spesial,99,0,0,0,86.0,110.0,109.42857142857143
2025-03-29,M01,Nasi Goreng Spesial,134,0,1,0,99.0,141.0,107.85714285714286
2025-03-30,M01,Nasi Goreng Spesial,118,0,1,1,134.0,136.0,106.85714285714286
2025-03-31,M01,Nasi Goreng Spesial,122,0,0,0,118.0,77.0,104.28571428571429
2025-04-01,M01,Nasi Goreng Spesial,104,0,0,0,122.0,109.0,110.71428571428571
2025-04-02,M01,Nasi Goreng Spesial,103,0,0,0,104.0,107.0,110.0
2025-04-03,M01,Nasi Goreng Spesial,60,1,0,0,103.0,86.0,109.42857142857143
2025-04-04,M01,Nasi Goreng Spesial,88,0,0,0,60.0,99.0,105.71428571428571
2025-04-05,M01,Nasi Goreng Spesial,130,0,1,0,88.0,134.0,104.14285714285714
2025-04-06,M01,Nasi Goreng Spesial,136,0,1,0,130.0,118.0,103.57142857142857
2025-04-07,M01,Nasi Goreng Spesial,93,0,0,0,136.0,122.0,106.14285714285714
2025-04-08,M01,Nasi Goreng Spesial,98,0,0,1,93.0,104.0,102.0
2025-04-09,M01,Nasi Goreng Spesial,52,1,0,1,98.0,103.0,101.14285714285714
2025-04-10,M01,Nasi Goreng Spesial,94,0,0,0,52.0,60.0,93.85714285714286
2025-04-11,M01,Nasi Goreng Spesial,68,1,0,0,94.0,88.0,98.71428571428571
2025-04-12,M01,Nasi Goreng Spesial,138,0,1,0,68.0,130.0,95.85714285714286
2025-04-13,M01,Nasi Goreng Spesial,134,0,1,0,138.0,136.0,97.0
2025-04-14,M01,Nasi Goreng Spesial,79,0,0,1,134.0,93.0,96.71428571428571
2025-04-15,M01,Nasi Goreng Spesial,113,0,0,0,79.0,98.0,94.71428571428571
2025-04-16,M01,Nasi Goreng Spesial,74,0,0,0,113.0,52.0,96.85714285714286
2025-04-17,M01,Nasi Goreng Spesial,100,0,0,0,74.0,94.0,100.0
2025-04-18,M01,Nasi Goreng Spesial,90,0,0,0,100.0,68.0,100.85714285714286
2025-04-19,M01,Nasi Goreng Spesial,129,0,1,0,90.0,138.0,104.0
2025-04-20,M01,Nasi Goreng Spesial,114,0,1,0,129.0,134.0,102.71428571428571
2025-04-21,M01,Nasi Goreng Spesial,97,0,0,0,114.0,79.0,99.85714285714286
2025-04-22,M01,Nasi Goreng Spesial,84,0,0,1,97.0,113.0,102.42857142857143
2025-04-23,M01,Nasi Goreng Spesial,92,0,0,0,84.0,74.0,98.28571428571429
2025-04-24,M01,Nasi Goreng Spesial,88,0,0,0,92.0,100.0,100.85714285714286
2025-04-25,M01,Nasi Goreng Spesial,95,0,0,0,88.0,90.0,99.14285714285714
2025-04-26,M01,Nasi Goreng Spesial,129,0,1,0,95.0,129.0,99.85714285714286
2025-04-27,M01,Nasi Goreng Spesial,137,0,1,0,129.0,114.0,99.85714285714286
2025-04-28,M01,Nasi Goreng Spesial,102,0,0,0,137.0,97.0,103.14285714285714
2025-04-29,M01,Nasi Goreng Spesial,112,0,0,0,102.0,84.0,103.85714285714286
2025-04-30,M01,Nasi Goreng Spesial,92,0,0,0,112.0,92.0,107.85714285714286
2025-05-01,M01,Nasi Goreng Spesial,113,0,0,0,92.0,88.0,107.85714285714286
2025-05-02,M01,Nasi Goreng Spesial,114,0,0,0,113.0,95.0,111.42857142857143
2025-05-03,M01,Nasi Goreng Spesial,114,0,1,1,114.0,129.0,114.14285714285714
2025-05-04,M01,Nasi Goreng Spesial,105,0,1,1,114.0,137.0,112.0
2025-05-05,M01,Nasi Goreng Spesial,94,0,0,1,105.0,102.0,107.42857142857143
2025-05-06,M01,Nasi Goreng Spesial,93,0,0,1,94.0,112.0,106.28571428571429
2025-05-07,M01,Nasi Goreng Spesial,100,0,0,0,93.0,92.0,103.57142857142857
2025-05-08,M01,Nasi Goreng Spesial,104,0,0,0,100.0,113.0,104.71428571428571
2025-05-09,M01,Nasi Goreng Spesial,100,0,0,0,104.0,114.0,103.42857142857143
2025-05-10,M01,Nasi Goreng Spesial,103,1,1,0,100.0,114.0,101.42857142857143
2025-05-11,M01,Nasi Goreng Spesial,125,0,1,0,103.0,105.0,99.85714285714286
2025-05-12,M01,Nasi Goreng Spesial,85,0,0,0,125.0,94.0,102.71428571428571
2025-05-13,M01,Nasi Goreng Spesial,64,0,0,1,85.0,93.0,101.42857142857143
2025-05-14,M01,Nasi Goreng Spesial,111,0,0,0,64.0,100.0,97.28571428571429
2025-05-15,M01,Nasi Goreng Spesial,97,0,0,0,111.0,104.0,98.85714285714286
2025-05-16,M01,Nasi Goreng Spesial,99,0,0,0,97.0,100.0,97.85714285714286
2025-05-17,M01,Nasi Goreng Spesial,104,0,1,1,99.0,103.0,97.71428571428571
2025-05-18,M01,Nasi Goreng Spesial,134,0,1,0,104.0,125.0,97.85714285714286
2025-05-19,M01,Nasi Goreng Spesial,105,0,0,0,134.0,85.0,99.14285714285714
2025-05-20,M01,Nasi Goreng Spesial,87,0,0,0,105.0,64.0,102.0
2025-05-21,M01,Nasi Goreng Spesial,80,1,0,0,87.0,111.0,105.28571428571429
2025-05-22,M01,Nasi Goreng Spesial,98,0,0,0,80.0,97.0,100.85714285714286
2025-05-23,M01,Nasi Goreng Spesial,96,0,0,0,98.0,99.0,101.0
2025-05-24,M01,Nasi Goreng Spesial,114,0,1,1,96.0,104.0,100.57142857142857
2025-05-25,M01,Nasi Goreng Spesial,101,0,1,1,114.0,134.0,102.0
2025-05-26,M01,Nasi Goreng Spesial,94,0,0,0,101.0,105.0,97.28571428571429
2025-05-27,M01,Nasi Goreng Spesial,88,0,0,0,94.0,87.0,95.71428571428571
2025-05-28,M01,Nasi Goreng Spesial,81,1,0,0,88.0,80.0,95.85714285714286
2025-05-29,M01,Nasi Goreng Spesial,78,1,0,0,81.0,98.0,96.0
2025-05-30,M01,Nasi Goreng Spesial,106,0,0,0,78.0,96.0,93.14285714285714
2025-05-31,M01,Nasi Goreng Spesial,131,0,1,0,106.0,114.0,94.57142857142857
2025-06-01,M01,Nasi Goreng Spesial,106,0,1,1,131.0,101.0,97.0
2025-06-02,M01,Nasi Goreng Spesial,85,0,0,1,106.0,94.0,97.71428571428571
2025-06-03,M01,Nasi Goreng Spesial,70,0,0,1,85.0,88.0,96.42857142857143
2025-06-04,M01,Nasi Goreng Spesial,90,0,0,1,70.0,81.0,93.85714285714286
2025-06-05,M01,Nasi Goreng Spesial,110,0,0,0,90.0,78.0,95.14285714285714
2025-06-06,M01,Nasi Goreng Spesial,102,0,0,0,110.0,106.0,99.71428571428571
2025-06-07,M01,Nasi Goreng Spesial,139,0,1,0,102.0,131.0,99.14285714285714
2025-06-08,M01,Nasi Goreng Spesial,134,0,1,0,139.0,106.0,100.28571428571429
2025-06-09,M01,Nasi Goreng Spesial,101,0,0,0,134.0,85.0,104.28571428571429
2025-06-10,M01,Nasi Goreng Spesial,99,0,0,0,101.0,70.0,106.57142857142857
2025-06-11,M01,Nasi Goreng Spesial,117,0,0,0,99.0,90.0,110.71428571428571
2025-06-12,M01,Nasi Goreng Spesial,90,0,0,1,117.0,110.0,114.57142857142857
2025-06-13,M01,Nasi Goreng Spesial,99,0,0,0,90.0,102.0,111.71428571428571
2025-06-14,M01,Nasi Goreng Spesial,121,0,1,0,99.0,139.0,111.28571428571429
2025-06-15,M01,Nasi Goreng Spesial,114,0,1,0,121.0,134.0,108.71428571428571
2025-06-16,M01,Nasi Goreng Spesial,101,0,0,0,114.0,101.0,105.85714285714286
2025-06-17,M01,Nasi Goreng Spesial,94,0,0,0,101.0,99.0,105.85714285714286
2025-06-18,M01,Nasi Goreng Spesial,101,0,0,0,94.0,117.0,105.14285714285714
2025-06-19,M01,Nasi Goreng Spesial,54,1,0,1,101.0,90.0,102.85714285714286
2025-06-20,M01,Nasi Goreng Spesial,101,0,0,0,54.0,99.0,97.71428571428571
2025-06-21,M01,Nasi Goreng Spesial,127,0,1,0,101.0,121.0,98.0
2025-06-22,M01,Nasi Goreng Spesial,99,1,1,0,127.0,114.0,98.85714285714286
2025-06-23,M01,Nasi Goreng Spesial,88,0,0,1,99.0,101.0,96.71428571428571
2025-06-24,M01,Nasi Goreng Spesial,97,0,0,0,88.0,94.0,94.85714285714286
2025-06-25,M01,Nasi Goreng Spesial,107,0,0,0,97.0,101.0,95.28571428571429
2025-06-26,M01,Nasi Goreng Spesial,100,0,0,0,107.0,54.0,96.14285714285714
2025-06-27,M01,Nasi Goreng Spesial,81,0,0,0,100.0,101.0,102.71428571428571
2025-06-28,M01,Nasi Goreng Spesial,132,0,1,0,81.0,127.0,99.85714285714286
2025-06-29,M01,Nasi Goreng Spesial,127,0,1,0,132.0,99.0,100.57142857142857
2025-06-30,M01,Nasi Goreng Spesial,106,0,0,0,127.0,88.0,104.57142857142857
2025-07-01,M01,Nasi Goreng Spesial,97,0,0,0,106.0,97.0,107.14285714285714
2025-07-02,M01,Nasi Goreng Spesial,93,0,0,0,97.0,107.0,107.14285714285714
2025-07-03,M01,Nasi Goreng Spesial,103,0,0,0,93.0,100.0,105.14285714285714
2025-07-04,M01,Nasi Goreng Spesial,102,0,0,0,103.0,81.0,105.57142857142857
2025-07-05,M01,Nasi Goreng Spesial,116,0,1,0,102.0,132.0,108.57142857142857
2025-07-06,M01,Nasi Goreng Spesial,93,1,1,1,116.0,127.0,106.28571428571429
2025-07-07,M01,Nasi Goreng Spesial,92,0,0,0,93.0,106.0,101.42857142857143
2025-07-08,M01,Nasi Goreng Spesial,81,0,0,1,92.0,97.0,99.42857142857143
2025-07-09,M01,Nasi Goreng Spesial,111,0,0,0,81.0,93.0,97.14285714285714
2025-07-10,M01,Nasi Goreng Spesial,92,0,0,1,111.0,103.0,99.71428571428571
2025-07-11,M01,Nasi Goreng Spesial,126,0,0,0,92.0,102.0,98.14285714285714
